UMUR (minggu);KEMATIAN Kumulatif (%);BERAT BADAN (g);KONSUMSI AIR MINUM (ml/ekor/hari);KONSUMSI PAKAN (g/ekor/hari);KUMULATIF KONSUMSI PAKAN (g/ekor);KESERAGAMAN %;% PROD. TELUR Current;TELUR HARIAN Kumulatif;TELUR PER HEN HOUSE Kumulatif;EGG MAS PER HH Kumulatif (kg);BERAT TELUR RATA-RATA (g/telur);;;;
49;2,01;1915–2025;168–232;112–116;24388–25263;85;92,2–92,8;196,1–198,4;193,9–196,2;12,0–12,1;64,1–65,1;;112;–;116
50;2,08;1916–2026;168–232;112–116;25172–26075;85;92,0–92,7;202,5–204,9;200,2–202,6;12,4–12,5;64,1–65,1;;112;–;116
51;2,17;1917–2027;168–232;112–116;25956–26887;85;91,8–92,4;208,9–211,4;206,4–208,9;12,8–13,0;64,2–65,2;;112;–;116
52;2,25;1918–2028;168–232;112–116;26740–27699;85;91,6–92,2;215,4–217,9;212,7–215,2;13,2–13,4;64,2–65,2;;112;–;116
53;2,33;1919–2029;168–232;112–116;27524–28511;85;91,3–91,9;221,7–224,3;219,0–221,5;13,6–13,8;64,3–65,3;;112;–;116
54;2,41;1920–2030;168–232;112–116;28308–29323;85;91,1–91,7;228,1–230,7;225,2–227,7;14,0–14,2;64,3–65,3;;112;–;116
55;2,50;1921–2031;168–232;112–116;29092–30135;85;90,9–91,5;234,5–237,1;231,4–234,0;14,4–14,6;64,3–65,3;;112;–;116
56;2,58;1922–2032;168–232;112–116;29876–30947;85;90,7–91,4;240,8–243,5;237,6–240,2;14,8–15,0;64,4–65,4;;112;–;116
57;2,68;1923–2033;168–232;112–116;30660–31759;85;90,5–91,2;247,2–249,9;243,7–246,4;15,2–15,4;64,4–65,4;;112;–;116
58;2,77;1924–2033;168–232;112–116;31444–32571;85;90,3–91,0;253,5–256,3;249,9–252,6;15,6–15,8;64,4–65,4;;112;–;116
59;2,86;1924–2034;168–232;112–116;32228–33383;85;90,1–90,8;259,8–262,6;256,0–258,8;16,0–16,2;64,5–65,5;;112;–;116
60;2,96;1925–2035;168–232;112–116;33012–34195;85;89,8–90,5;266,1–269,0;262,1–265,0;16,4–16,6;64,5–65,5;;112;–;116
61;3,05;1926–2036;168–232;112–116;33796–35007;85;89,5–90,2;272,3–275,3;268,2–271,1;16,8–17,0;64,6–65,6;;112;–;116
62;3,16;1927–2037;168–232;112–116;34580–35819;85;89,3–90,0;278,6–281,6;274,2–277,2;17,2–17,4;64,6–65,6;;112;–;116
63;3,26;1927–2038;168–232;112–116;35364–36631;85;89,1–89,8;284,8–287,9;280,3–283,3;17,6–17,8;64,6–65,6;;112;–;116
64;3,36;1928–2038;168–232;112–116;36148–37443;85;88,9–89,7;291,0–294,1;286,3–289,3;18,0–18,2;64,6–65,6;;112;–;116
65;3,47;1929–2039;168–232;112–116;36932–38255;85;88,6–89,4;297,2–300,4;292,3–295,4;18,4–18,6;64,7–65,7;;112;–;116
66;3,57;1930–2040;168–232;112–116;37716–39067;85;88,2–89,1;303,4–306,6;298,2–301,4;18,8–19,0;64,7–65,7;;112;–;116
67;3,68;1930–2041;168–232;112–116;38500–39879;85;87,8–88,8;309,6–312,8;304,2–307,4;19,2–19,4;64,7–65,7;;112;–;116
68;3,80;1931–2041;168–232;112–116;39284–40691;85;87,5–88,5;315,7–319,0;310,1–313,4;19,6–19,8;64,7–65,7;;112;–;116
69;3,92;1932–2042;168–232;112–116;40068–41503;85;87,1–88,2;321,8–325,2;315,9–319,3;20,0–20,2;64,8–65,8;;112;–;116
70;4,03;1932–2043;168–232;112–116;40852–42315;85;86,6–87,8;327,9–331,4;321,8–325,2;20,3–20,5;64,8–65,8;;112;–;116
71;4,15;1933–2043;168–232;112–116;41636–43127;85;86,1–87,2;333,9–337,5;327,5–331,1;20,7–20,9;64,8–65,8;;112;–;116
72;4,27;1933–2044;168–232;112–116;42420–43939;85;85,4–86,6;339,9–343,5;333,3–336,9;21,1–21,3;64,9–65,9;;112;–;116
73;4,41;1934–2045;168–232;112–116;43204–44751;85;84,9–86,0;345,8–349,5;339,0–342,7;21,5–21,7;64,9–65,9;;112;–;116
74;4,53;1935–2045;168–232;112–116;43988–45563;85;84,4–85,6;351,7–355,5;344,6–348,4;21,8–22,1;64,9–65,9;;112;–;116
75;4,66;1935–2046;168–232;112–116;44772–46375;85;84,1–85,4;357,6–361,5;350,2–354,1;22,2–22,4;64,9–65,9;;112;–;116
76;4,79;1936–2046;168–232;112–116;45556–47187;85;83,6–85,0;363,4–367,5;355,8–359,7;22,6–22,8;64,9–65,9;;112;–;116
77;4,93;1936–2047;168–232;112–116;46340–47999;85;83,3–84,7;369,3–373,4;361,3–365,4;22,9–23,2;65,0–66,0;;112;–;116
78;5,06;1937–2048;168–232;112–116;47124–48811;85;82,9–84,4;375,1–379,3;366,8–371,0;23,3–23,5;65,0–66,0;;112;–;116
79;5,22;1937–2048;168–232;112–116;47908–49623;85;82,5–84,1;380,8–385,2;372,3–376,6;23,6–23,9;65,0–66,0;;112;–;116
80;5,36;1938–2048;168–232;112–116;48692–50435;85;82,0–83,6;386,6–391,0;377,7–382,1;24,0–24,3;65,0–66,0;;112;–;116
81;5,50;1938–2049;168–232;112–116;49476–51247;85;81,6–83,2;392,3–396,9;383,1–387,6;24,4–24,6;65,0–66,0;;112;–;116
82;5,65;1939–2049;168–232;112–116;50260–52059;85;81,1–82,8;398,0–402,7;388,5–393,1;24,7–25,0;65,1–66,1;;112;–;116
83;5,81;1939–2050;168–232;112–116;51044–52871;85;80,7–82,4;403,6–408,4;393,8–398,5;25,1–25,3;65,1–66,1;;112;–;116
84;5,97;1939–2050;168–232;112–116;51828–53683;85;80,2–81,8;409,2–414,2;399,1–403,9;25,4–25,7;65,1–66,1;;112;–;116
85;6,13;1940–2051;168–232;112–116;52612–54495;85;79,8–81,4;414,8–419,9;404,3–409,2;25,8–26,1;65,1–66,1;;112;–;116
86;6,30;1940–2051;168–232;112–116;53396–55307;85;79,4–81,0;420,4–425,5;409,5–414,5;26,1–26,4;65,2–66,2;;112;–;116
87;6,46;1940–2051;168–232;112–116;54180–56119;85;78,7–80,3;425,9–431,1;414,7–419,8;26,4–26,8;65,2–66,2;;112;–;116
88;6,63;1941–2052;168–232;112–116;54964–56931;85;78,1–79,6;431,3–436,7;419,8–425,0;26,8–27,1;65,2–66,2;;112;–;116
89;6,80;1941–2052;168–232;112–116;55748–57743;85;77,7–79,2;436,8–442,3;424,8–430,2;27,1–27,4;65,2–66,2;;112;–;116
90;6,99;1942–2052;168–232;112–116;56532–58555;85;77,4–78,8;442,2–447,8;429,9–435,3;27,4–27,8;65,3–66,3;;112;–;116
91;7,17;1942–2053;168–232;112–116;57316–59367;85;77,0–78,4;447,6–453,3;434,9–440,4;27,8–28,1;65,3–66,3;;112;–;116
92;7,36;1942–2053;168–232;112–116;58100–60179;85;76,6–78,0;453,0–458,7;439,8–445,4;28,1–28,4;65,3–66,3;;112;–;116
93;7,54;1942–2053;168–232;112–116;58884–60991;85;76,2–77,6;458,3–464,2;444,8–450,5;28,4–28,8;65,3–66,3;;112;–;116
94;7,74;1942–2053;168–232;112–116;59668–61803;85;76,0–77,4;463,6–469,6;449,7–455,4;28,7–29,1;65,3–66,3;;112;–;116
95;7,95;1943–2054;168–232;112–116;60452–62615;85;75,8–77,2;468,9–475,0;454,6–460,4;29,1–29,4;65,4–66,4;;112;–;116
96;8,15;1943–2054;168–232;112–116;61236–63427;85;75,4–76,8;474,2–480,4;459,4–465,4;29,4–29,8;65,4–66,4;;112;–;116
97;8,35;1943–2054;168–232;112–116;62020–64239;85;75,0–76,4;479,4–485,7;464,2–470,3;29,7–30,1;65,4–66,4;;112;–;116
98;8,56;1943–2054;168–232;112–116;62804–65051;85;74,7–76,0;484,7–491,0;469,0–475,1;30,0–30,4;65,4–66,4;;112;–;116
99;8,77;1943–2054;168–232;112–116;63588–65863;85;74,3–75,6;489,9–496,3;473,7–480,0;30,3–30,7;65,4–66,4;;112;–;116
100;8,99;1943–2054;168–232;112–116;64372–66675;85;73,9–75,2;495,0–501,6;478,5–484,8;30,6–31,0;65,5–66,5;;112;–;116
